#{"t_start": 1789746057.7703824, "env_id": "None"}
r,l,t
-106.7,50,467.727387
-329.1,50,468.802367
-329.8,50,469.258173
-280.4,50,469.727434
-109.0,50,470.784444
-251.6,50,471.210062
-141.1,50,472.261156
-256.2,50,472.667062
-130.6,50,473.057256
-112.7,50,474.045196
-99.7,50,474.491729
-118.0,50,475.575216
-160.6,50,476.018655
-118.8,50,476.475071
-272.2,50,477.408998
-87.7,50,477.908283
-103.0,50,478.359357
-259.0,50,479.354382
-108.1,50,479.791325
-163.3,50,480.752186
-351.7,50,481.131718
-99.4,50,481.557653
-99.8,50,482.654167
-121.4,50,483.110093
-257.9,50,484.078187
-189.9,50,484.686143
-94.3,50,485.133994
-98.3,50,486.090174
-73.3,50,486.514875
-158.5,50,487.44277
-217.8,50,487.812518
-106.4,50,488.189088
-68.2,50,489.325479
-320.4,50,489.755873
-102.5,50,490.917166
-251.7,50,491.403198
-90.6,50,491.867004
-84.6,50,492.807899
-119.8,50,493.259559
-153.2,50,493.681002
-69.4,50,494.847464
-115.5,50,495.338125
-124.4,50,496.459076
-187.2,50,496.875833
-74.7,50,497.25907
-86.9,50,498.337309
-80.6,50,498.806274
-159.5,50,499.885783
-86.5,50,500.317188
-240.3,50,500.76891
-61.3,50,501.75745
-82.8,50,502.193337
-61.8,50,503.240328
-99.1,50,503.667494
-83.8,50,504.208736
-207.2,50,505.255329
-83.6,50,505.693097
-105.3,50,506.158332
-113.1,50,507.153791
-122.0,50,507.56699
-89.5,50,508.6478
-208.7,50,509.125862
-110.2,50,509.642404
-141.4,50,510.622945
-108.9,50,511.107344
-98.5,50,512.150169
-142.3,50,512.528776
-99.2,50,513.005378
-230.9,50,514.159568
-108.2,50,514.596298
-254.4,50,515.787609
-253.4,50,516.235978
-192.4,50,516.686096
-100.1,50,517.723483
-200.3,50,518.252755
-237.2,50,519.178531
-141.3,50,519.593493
-259.3,50,520.06387
-265.2,50,521.112424
-111.0,50,521.637646
-108.2,50,522.154569
-102.7,50,523.282633
-94.5,50,523.701205
-249.4,50,524.909738
-184.0,50,525.326057
-96.6,50,525.748243
-261.1,50,526.688743
-126.8,50,527.16864
-193.9,50,528.217649
-342.8,50,528.67474
-235.9,50,529.157227
-286.4,50,530.231783
-318.6,50,530.693848
-87.9,50,531.659758
-71.3,50,532.016813
-120.7,50,532.475889
-105.8,50,533.612337
-275.6,50,534.08816
-118.3,50,535.299761
-99.0,50,535.7927
-88.0,50,536.242753
-332.8,50,537.188895
-247.8,50,537.642811
-219.8,50,538.102076
-287.0,50,539.039543
-95.0,50,539.555928
-53.9,50,540.604354
-266.9,50,541.028729
-89.1,50,541.442314
-68.1,50,542.510452
-248.8,50,542.935671
-119.0,50,543.856819
-110.1,50,544.228911
-174.3,50,544.672716
-190.9,50,545.71345
-92.4,50,546.209812
-114.4,50,547.28108
-111.4,50,547.708843
-314.8,50,548.150841
-64.6,50,549.254122
-110.7,50,549.705153
-220.4,50,550.119152
-106.6,50,551.108487
-104.3,50,551.544613
-69.3,50,552.523843
-265.9,50,552.989806
-315.2,50,553.43581
-351.2,50,554.490396
-247.3,50,555.108214
-103.0,50,556.173475
-194.7,50,556.620587
-125.2,50,557.038274
-199.6,50,558.050373
-82.0,50,558.476323
-110.7,50,559.451091
-74.4,50,559.896548
-295.9,50,560.282308
-115.5,50,561.251276
-360.5,50,561.694973
-108.5,50,562.738392
-353.3,50,563.182459
-224.8,50,563.605359
-257.5,50,564.63519
-90.6,50,565.055315
-78.2,50,565.465508
-329.3,50,566.517469
-320.9,50,566.936867
-96.8,50,567.9591
-108.8,50,568.404126
-218.2,50,568.818982
-259.4,50,569.811745
-95.6,50,570.180473
-224.5,50,571.146755
-351.8,50,571.637531
-174.3,50,572.089235
-272.4,50,573.221636
-269.5,50,573.821352
-112.1,50,574.802653
-242.8,50,575.231712
-300.9,50,575.669851
-303.2,50,576.667102
-100.9,50,577.04232
-93.0,50,578.058472
-113.1,50,578.487224
-267.7,50,578.891656
-162.3,50,579.972537
-292.5,50,580.394899
-106.2,50,580.84035
-308.9,50,581.77595
-227.1,50,582.176053
-413.3,50,583.241333
-99.3,50,583.729645
-247.5,50,584.21751
-93.6,50,585.255823
-263.0,50,585.679102
-111.5,50,586.67293
-106.8,50,587.088367
-76.3,50,587.537223
-168.6,50,588.529424
-89.2,50,589.006279
-178.3,50,590.002198
-202.6,50,590.406998
-257.1,50,590.864419
-328.3,50,591.91218
-365.5,50,592.453224
-197.9,50,592.932134
-111.2,50,593.987494
-118.6,50,594.391209
-81.8,50,595.421683
-311.1,50,595.871003
-103.6,50,596.266491
-316.0,50,597.221548
-89.7,50,597.666716
-95.0,50,598.685333
-152.5,50,599.125231
-304.7,50,599.573449
-167.8,50,600.661037
-309.5,50,601.087456
-350.1,50,602.129924
-207.5,50,602.778483
-118.2,50,603.217937
-98.1,50,604.25011
-107.7,50,604.753796
-237.5,50,605.798944
-87.6,50,606.3
-131.7,50,606.772562
-157.9,50,607.827482
-95.2,50,608.29021
-89.6,50,608.775258
-71.2,50,609.868304
-355.7,50,610.345996
-146.7,50,611.498726
-82.7,50,611.98735
-246.4,50,612.526752
-229.1,50,613.617415
-297.4,50,614.117039
-217.1,50,615.11138
-128.1,50,615.589871
-94.2,50,616.06831
-77.1,50,617.076506
-96.0,50,617.600034
-221.6,50,618.709177
-227.7,50,619.130377
-183.2,50,619.571271
-178.7,50,620.737305
-119.0,50,621.160672
-86.3,50,622.231492
-287.9,50,622.712907
-106.8,50,623.344213
-344.4,50,624.420723
-93.0,50,624.878672
-261.6,50,625.295398
-270.9,50,626.445857
-254.6,50,626.990879
-189.2,50,627.999602
-208.6,50,628.483331
-79.5,50,629.007113
-120.4,50,630.056831
-183.6,50,630.513091
-91.3,50,631.622492
-107.2,50,632.039097
-160.4,50,632.459881
-302.8,50,633.62247
-147.0,50,634.092268
-271.0,50,635.064126
-281.7,50,635.580978
-92.2,50,636.046797
-242.7,50,637.113917
-79.7,50,637.54382
-278.0,50,638.030202
-181.1,50,639.087628
-79.9,50,639.58631
-292.5,50,640.680676
-226.8,50,641.099274
-71.6,50,641.480954
-95.3,50,642.6082
-89.2,50,643.21211
-117.6,50,644.225601
-116.5,50,644.734018
-98.1,50,645.176359
-82.1,50,646.240769
-92.6,50,646.7438
-187.5,50,647.802991
-136.7,50,648.277389
-75.9,50,648.765407
-105.3,50,649.858849
-77.7,50,650.278705
-64.3,50,651.352907
-75.7,50,651.823898
-94.1,50,652.2478
-98.1,50,653.418294
-174.7,50,653.880774
-267.3,50,654.25607
-92.8,50,655.425287
-69.1,50,655.912597
-104.7,50,656.921202
-71.4,50,657.333254
-79.6,50,657.806156
-88.9,50,658.873538
-79.4,50,659.40615
-97.6,50,660.531817
-81.8,50,661.014138
-255.2,50,661.439667
-172.7,50,662.614114
-91.3,50,663.255207
-276.4,50,664.371474
-73.2,50,664.871122
-214.1,50,665.313318
-81.4,50,666.311622
-79.1,50,666.814023
-174.5,50,667.847768
-71.0,50,668.287071
-83.4,50,668.7472
-86.4,50,669.79908
-94.5,50,670.237564
-86.8,50,670.663121
-112.0,50,671.765283
-81.8,50,672.154815
-269.2,50,673.118988
-114.6,50,673.751519
-106.2,50,674.182298
-81.5,50,675.31754
-184.5,50,675.789583
-295.3,50,676.765592
-109.6,50,677.196837
-107.1,50,677.72137
-165.2,50,678.777365
-93.2,50,679.267436
-111.7,50,680.360888
-232.7,50,680.828415
-240.9,50,681.276019
-192.5,50,682.331908
-137.7,50,682.842805
-305.0,50,683.253726
-259.3,50,684.422421
